Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
11/24/2020 8:20,4th year,Normal,50,Female,23,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,No,9
11/24/2020 8:20,4th year,Normal,50,Female,23,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,9
11/24/2020 8:20,4th year,Normal,50,Female,23,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,9
11/24/2020 8:20,4th year,Normal,50,Female,23,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8
11/24/2020 8:20,1st year,Very bad,10,Female,20,Hall-Mess,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Yes,No,Yes,8
11/24/2020 8:20,1st year,Good,80,Female,20,Hall-Mess,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Yes,No,Yes,8
11/24/2020 8:20,1st year,Very good,100,Female,20,Hall-Mess,Single,Yes,2,Good,No,Yes,Yes,Family,No,No,Yes,No,Yes,7
11/24/2020 8:20,1st year,Very good,100,Female,20,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,8
11/25/2020 8:50,1st year,Normal,60,Female,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8
11/25/2020 8:50,1st year,Very good,100,Female,20,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Yes,No,No,8
11/25/2020 8:50,4th year,Normal,60,Female,23,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Yes,Yes,No,8
11/25/2020 8:50,1st year,Normal,60,Female,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,No,Maybe,Yes,Yes,No,8
11/25/2020 8:50,1st year,Good,80,Female,20,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Yes,Yes,No,8
